Open,High,Low,Volume,Close
8939.200195,9277.049805,8860.150391,60800,9218.842773
9652,9766.099609,9129.25,88400,9264.292969
9194.849609,9373.799805,9005.25,73300,9268.792969
9322.799805,9493.849609,9215.849609,53500,9469.989258
9529.700195,9586.650391,9294.049805,39800,9373.44043
9208.150391,9208.150391,8842.5,54300,8870.396484
8729.25,8869.700195,8366.75,68000,8760.748047
8897,8958.349609,8759.849609,56800,8904.496094
8891.900391,9135.549805,8846.549805,79300,9049.094727
9220.950195,9220.950195,8625.400391,47700,8664.099609
9253.450195,9704.599609,9253.450195,95300,9682.288086
9746.650391,9989.849609,9568.5,67700,9961.28418
10084,10304.90039,10084,54700,10188.13184
10112.65039,10409.15039,9980.5,62600,10368.97949
10338.29981,10358.25,10070.9502,54800,10158.43164
10067.15039,10272.40039,10037.29981,50600,10180.33203
10418.5,10536.7002,10175.04981,50000,10368.28027
10320.84961,10334.29981,10223.9502,34200,10279.48047
10327.15039,10481.5,10241.9502,35000,10447.72852
10984.5,11219.4502,10984.5,91500,11148.52051
11163.9502,11188.09961,10409.79981,89800,10686.67578
10466.29981,10509.54981,10177.90039,54800,10211.58106
10063.04981,10289.75,10046.7002,55000,10175.78223
10191.84961,10232.4502,9919.700195,48300,10081.58301
10091.40039,10189.40039,10051.2002,45300,10098.13281
10131.65039,10131.65039,9883.950195,34300,9899.634766
9783.900391,9815,9587.75,37000,9617.688477
9685.150391,9912.950195,9582.75,43000,9883.18457
9946.299805,10241.4502,9888.700195,41700,10222.83106
10171.4502,10328.75,10111.75,39300,10197.03223
10124.15039,10124.15039,9877.450195,30300,10081.98242
10418.84961,10451.15039,10090.59961,41800,10141.33203
10004.40039,10360.34961,9947.25,41700,10334.83008
10309.2002,10372.04981,10199.54981,31800,10288.83106
10423.59961,10649.29981,10307.90039,41400,10622.02734
10588.9502,10706.79981,10550,37500,10665.12598
10738.2002,10738.2002,10339.09961,38000,10389.12891
10406.04981,10416.2002,10274.34961,42000,10336.42969
10387.29981,10784,10387.29981,37500,10744.77539
10751.7002,10871.75,10700.54981,32800,10797.42383
10743.79981,10907.54981,10707.84961,49100,10808.97363
10837.04981,10912.79981,10732.34961,49000,10880.52441
10839.4502,11091.59961,10839.4502,41800,10902.32324
10880.84961,10951.75,10797.59961,30400,10896.37305
10924.4502,11002.40039,10752.34961,28173000,10773.0752
10779.65039,11268.2002,10669,53600,11241.51953
11284.84961,11366.4502,11211.5,35800,11249.21875
11211.29981,11512.5,11170.04981,79500,11473.0166
11472.2002,11694.4502,11443.59961,88500,11628.51563
11539.75,11736.2002,11462.09961,58800,11498.7666
11510.40039,11510.40039,11269.9502,34800,11292.41895
11320.84961,11398.59961,11024.75,44200,11054.77148
11011.04981,11067,10841.59961,42000,10913.02344
10786.25,10940.5,10674.5,40200,10758.3252
10755.65039,10860.34961,10543.15039,41600,10582.92676
10469.09961,10652.29981,10412.04981,55000,10523.22754
10660.65039,10891.90039,10660.65039,36300,10811.07422
10962.25,11156.59961,10962.25,35600,11142.16992
11159.04981,11207.7002,11107.34961,36600,11187.71973
11127.34961,11156.5,10905.54981,34300,10967.02246
10866.29981,10866.29981,10657.84961,37500,10706.77637
10796.4502,10820,10630.54981,31700,10677.22559
10780.59961,11097.9502,10780.59961,35900,11083.27148
11040.65039,11133.40039,10893.29981,66600,10909.22266
10941.59961,10961.34961,10827.75,30100,10899.17285
10994.25,11062.15039,10843,30900,10906.62305
10941.59961,11186.15039,10941.59961,31900,11153.82031
11180.29981,11347.4502,11180.29981,25900,11284.21875
11250.7002,11310.7002,11174.5,24300,11211.16992
11158.7002,11216.04981,11107.75,27800,11156.62012
11469.34961,11685.54981,11469.34961,55100,11664.96387
11648.34961,11770.65039,11579.5,39300,11720.06445
12206.9502,12225.9502,12007.29981,45100,12065.75977
12041,12067.4502,11774.9502,37400,11843.3125
11747.4502,11877.75,11687.59961,28300,11784.21289
11736.25,11781.7002,11622.7002,26800,11635.36523
11483.84961,11534.34961,11349.84961,29800,11366.76856
11347.2002,11440.84961,11309.7002,25600,11372.81836
11412.7002,11418.09961,11178,25500,11208.52051
11129.65039,11572.29981,11117.4502,49400,11357.76856
11505.54981,11505.54981,11040.15039,32100,11087.32129
11117.7002,11318.54981,11074.54981,24700,11292.21875
11258.65039,11453.4502,11258.65039,27400,11378.36816
11399.15039,11405,11287.29981,23600,11330.51856
11335.79981,11426.4502,11317.4502,30300,11385.61719
11409.25,11514.4502,11409.25,21100,11459.56738
11532.59961,11552.40039,11355.04981,18500,11375.86816
11410.25,11427.84961,11316.54981,16700,11385.11719
11383.79981,11578.90039,11150.2002,39900,11183.07031
11098.25,11208,11052.59961,28200,11181.52051
11174.34961,11174.34961,10996.9502,20500,11048.9209
11097.79981,11154.09961,10892.15039,30300,11036.62207
11071.75,11122.75,10988.79981,33400,11053.57129
11068.90039,11090.25,10925.15039,29400,10970.32227
10969.34961,11056.90039,10788.2002,35900,10805.17383
10814.65039,11070.2002,10814.65039,26100,11021.47168
10989.15039,11065.65039,10922.59961,21600,10948.77344
11000.2002,11164.09961,10986.09961,35900,11125.27148
11187.34961,11192.79981,11070,22800,11092.4209
11080.09961,11081.9502,10893.75,30600,10911.22266
10909.90039,11022.4502,10876.25,17600,11007.37207
11067.04981,11190.09961,11036.40039,22400,11171.37012
11164.25,11248.34961,11094.79981,21600,11207.21973
11183.75,11221.09961,11122.34961,21100,11198.87012
11063.2002,11132.7002,10972.09961,26100,10982.27246
10802.29981,10802.29981,10520.90039,37200,10540.27832
10541.5,10708,10333.40039,46700,10507.47754
10609.90039,10644.2002,10406.9502,27900,10437.62891
10287.84961,10314.25,10101.2002,47900,10153.03223
10193.54981,10266.4502,10130.29981,44100,10237.63086
10205.4502,10222.65039,10089.25,30400,10101.98242
9983.650391,10222.09961,9944,35500,10191.08203
10215.65039,10254.04981,10112.5,27700,10231.53125
10257.09961,10321.5,10107.79981,34800,10205.08203
10311.9502,10321.09961,10180.84961,23100,10263.08106
10287.34961,10310.29981,10187.79981,18000,10213.78125
10242.09961,10296.79981,10200.59961,15200,10245.33106
10307.59961,10395.15039,10307.59961,24100,10348.67969
10360.7002,10386.65039,10113.79981,25800,10135.58203
10169,10229.4502,10064.75,28300,10203.63184
10324.34961,10618.84961,10296.25,26100,10575.07715
10548.34961,10630.15039,10520.29981,20200,10609.47656
10515.29981,10525.7002,10419.09961,24200,10428.17871
10429.29981,10584.75,10429.29981,16400,10554.22656
10508.9502,10711.65039,10471.4502,21300,10683.37598
10742.15039,10768.9502,10611.75,19100,10666.62598
10659.2002,10758.65039,10659.2002,20100,10730.27539
10793.59961,10793.59961,10688.9502,23200,10764.5752
10705.4502,10836.2002,10613,24100,10651.82617
10661.40039,10936.75,10661.40039,36100,10928.92285
10987.59961,11122.54981,10899.40039,46400,11098.6709
11147.59961,11303.2002,11117.25,37200,11278.21875
11357.90039,11947.5,11332.59961,70900,11884.61231
11784.54981,12157.90039,11784.54981,60300,12107.95898
12132,12285.4502,11994.84961,55500,12043.01074
11997.84961,12142.90039,11887.75,33100,12023.95996
12062.34961,12308.7002,12062.34961,34400,12141.30859
11984.5,12090.04981,11867.15039,34700,12055.70996
12093.2002,12268.75,12052.34961,38200,12114.70898
12190.84961,12256.4502,12132.40039,33300,12186.4082
12160.65039,12160.65039,11989.9502,22800,12017.11035
12083.4502,12123.15039,12043.40039,33500,12092.20898
12134.65039,12423,12134.65039,31000,12408.00586
12403.65039,12523.7002,12394.29981,25000,12449.85547
12529.4502,12570.59961,12469.15039,36200,12518.2041
12560.90039,12767.5,12513.09961,55400,12604.80371
12693.25,12787.5,12633.29981,48600,12754.55176
12855.5,12869.34961,12660.04981,40600,12741.90137
12806.15039,12806.15039,12509.9502,37900,12588.35352
12674.34961,12740.15039,12542.34961,40400,12715.15234
12749.84961,12754.75,12518,35400,12563.70313
12523.29981,12656.5,12430.84961,29600,12551.55469
12562.34961,12615.34961,12439.54981,27600,12506.30469
12593.15039,12957.54981,12548.4502,40100,12937.25
12937.40039,13055.59961,12881.2002,38400,12949.25
12822.25,12934.90039,12777.9502,25000,12840.05078
12830.5,12831.59961,12537.7002,27100,12579.75391
12557.40039,12727.04981,12514.75,30600,12563.00391
12564.54981,12819.09961,12514.79981,32600,12787.10156
12845.29981,13002.75,12838.84961,30100,12958.34961
12989.54981,13040.15039,12913.90039,24800,12986.94824
12961.34961,13176.04981,12957.90039,49600,13121.94727
13134.5,13268.59961,12968.79981,40100,13034.34863
13038.9502,13116,12927.75,29700,13081.39746
13107.54981,13124.29981,12897.34961,28100,12910.39941
12946.09961,13100.75,12738.59961,41100,12855.7002
12920.34961,12995.59961,12818.84961,19400,12841.85059
12841.40039,12981.59961,12773.04981,33000,12880.50098
12961.5,13012.54981,12917.15039,24600,12965.89941
12944.90039,13017,12877.75,25800,12938.04981
12982.75,13095.5,12952.5,23500,13037.24902
13023.40039,13814.25,13017.90039,50600,13750.33984
13801,14152.4502,13801,44400,14084.88574
14269.25,14367.75,14105.65039,62500,14165.38477
14124.54981,14320.75,14063.59961,55100,14206.93457
14186.09961,14301.29981,14159.09961,55300,14236.38477
14675.59961,15742.04981,14468.09961,103900,14852.82715
15032,15305.65039,15032,57800,15221.97363
15351.65039,15362.54981,15087.7002,46800,15111.02441
15126.59961,15126.59961,14857.5,36900,14951.92578
15009.90039,15204.4502,14938.25,37500,15055.375
15091.7002,15321.25,14972.59961,53900,15285.32227
15431.9502,15568.04981,14969.25,52800,15175.72363
15141.5,15158.40039,14934.9502,30600,15083.82422
15075.59961,15198.34961,15032.4502,27000,15173.17285
15169.25,15254.5,15007.5,44800,15030.125
15093.09961,15108.79981,14709.29981,43300,14793.22852
14786.4502,15321.79981,14770,33500,15287.07227
15335.84961,15414.04981,15148.5,36300,15257.32227
15221.29981,15396.90039,15171.15039,32600,15333.22266
15250.59961,15337.15039,15152.40039,34700,15281.97266
15405.75,15576.04981,15320.75,39700,15542.96973
15625.40039,15725.79981,15522.84961,41900,15567.21973
15585.40039,15585.40039,15337.84961,30500,15427.62012
15436.04981,15660.04981,15367.59961,40200,15450.37012
15456.25,15518.75,15293.40039,26800,15464.66992
15506.75,15599.75,15083.90039,33000,15106.72461
15055.2002,15091.29981,14858.90039,32700,15029.8252
14982.34961,15393.75,14933.25,36300,15373.02148
15369.5,15461.54981,15128.4502,36100,15220.22363
15282.04981,15332.75,14976.15039,26200,15067.22559
15064.4502,15195.54981,14978.5,21900,14997.47656
15014.2002,15148,14940.34961,25000,15076.17481
15142.34961,15341.9502,15142.34961,29100,15309.32227
15320.9502,15320.9502,15221.15039,23400,15237.67285
15247.09961,15333.25,15020.65039,37300,15049.8252
15092.25,15117.15039,14946.84961,20200,14992.17578
15059.09961,15329.9502,15059.09961,29800,15241.72363
15288.79981,15365.65039,15261.15039,24800,15321.17188
15464.54981,15519.29981,15414.84961,23700,15490.16992
15512.75,15554.7002,15431.5,22300,15451.4707
15458.75,15582.65039,15305,20800,15555.96973
15589.5,15592.79981,15349.2002,33200,15367.4209
15437.40039,15437.40039,14889.34961,26400,14997.32617
15008.25,15093.4502,14827.09961,30700,14930.92578
14940,15371.04981,14621.9502,48100,14821.52832
14796.90039,14918.84961,14406.65039,33000,14447.03223
14508.09961,14561.75,14338.65039,28200,14489.58203
14601.84961,14919.54981,14601.84961,32900,14891.72754
15033.9502,15299.79981,15006.4502,39300,15265.27246
15258.9502,15301.9502,15156,26100,15268.87207
15169,15463.15039,15089.29981,30500,15389.1709
15510,15554.90039,15355.34961,26100,15385.77148
15440.34961,15473.34961,15306.34961,21700,15427.16992
15513.4502,15626.90039,15398.7002,31100,15462.82031
15471.34961,15559.09961,15410.2002,28200,15534.16895
15494.84961,15571.90039,15272.4502,27800,15322.07227
15399.5,15403.90039,15162.04981,22700,15211.97363
15256.2002,15470.59961,15184.65039,29200,15452.2207
15447.90039,15499.5,15233,39200,15267.42188
15137.59961,15417.25,15096.09961,36300,15127.62402
15242.25,15326.15039,15128.09961,22900,15242.17285
15283.59961,15343.5,15105.90039,27400,15293.07227
15209.04981,15239.34961,14983.5,21300,15008.47559
15004.84961,15135.09961,14956.84961,22000,14986.67578
14831.75,14858.9502,14709.09961,27200,14765.57813
14858.75,14896.90039,14807,20900,14846.62695
14943.79981,15078.09961,14850.15039,19700,15056.52539
15007.25,15078.34961,14843.79981,27200,14910.72754
14954.2002,15144.75,14940.29981,24700,15089.47461
15099.7002,15465.04981,15068.34961,28400,15439.57031
15507.04981,15624.34961,15469.84961,31900,15524.46973
15566.75,15566.75,15448.90039,19900,15481.52051
15475.5,15721.9502,15462.5,34500,15662.01856
15699.04981,15865.29981,15696.29981,32000,15818.9668
15817.54981,15973.34961,15625.4502,22500,15668.81836
15530.65039,15674.54981,15503.40039,21100,15623.91797
15745.59961,15758.84961,15669.04981,18400,15717.46777
15758.04981,15794.59961,15688.15039,27100,15740.21777
15790.25,16060.2002,15790.25,23700,16012.61328
16049.75,16170.84961,16047.29981,26300,16130.36231
16208.54981,16208.54981,16048.09961,30700,16109.8125
16102.90039,16114.75,15926.65039,21700,16033.36328
16030.4502,16111,15891.75,21500,15982.31445
16084.2002,16222.54981,16049.25,20500,16206.51172
16171.79981,16199.09961,16085.7002,17500,16156.5625
16173.5,16190.5,16053.90039,20600,16151.5625
16197.29981,16309.7002,16166.84961,30000,16203.96191
16208,16278.65039,16145.7002,22600,16253.96191
16158.65039,16239.7002,16106.04981,27100,16167.36231
16160.7002,16169.59961,15814.65039,28600,15843.91504
15926.84961,15937.29981,15799.7002,22300,15838.41504
15778.75,16173.79981,15770.79981,21600,16156.66211
16197.5,16197.5,16064.59961,23900,16151.96289
16052.54981,16272.34961,16021.15039,19100,16194.36133
16194.40039,16240.54981,15894.54981,23900,15902.66504
15883.4502,15954.4502,15625.84961,26000,15740.11719
15690.5,15734.09961,15213.34961,41700,15298.87207
15262.90039,15666.40039,15168.40039,37300,15607.06836
15636.4502,15636.4502,15420.79981,20400,15473.37012
15441.34961,15596.09961,15336.7002,28400,15392.07129
15370.7002,15377.59961,15270.9502,20700,15316.02246
15214.25,15344.59961,15157.7002,20600,15180.07324
15130.34961,15371.79981,15130.34961,19800,15343.82129
15434.34961,15795.65039,15434.34961,27800,15741.01758
15603.4502,15628.75,15439.34961,24200,15453.62012
15360.7002,15705.7002,15301.65039,26100,15677.31738
15790.9502,15843.7002,15560.25,32200,15751.36719
15690.34961,15836.15039,15477.04981,30900,15541.41895
15617.34961,15973.5,15603.4502,31300,15929.61426
16259.7002,16297.25,16157.04981,32100,16216.41113
16281.9502,16452.84961,16269,37100,16427.05859
16570.40039,16572.5,16365.59961,22200,16444.50781
16538.90039,16664.30078,16470.84961,22900,16556.40625
16607.5,16702.30078,16607.5,18100,16666.80664
16770.19922,16770.19922,16596.25,19000,16633.85742
16606.5,16776.34961,16561.34961,32000,16759.85547
16812.44922,17060.15039,16783.65039,30100,17044.85352
17087,17168.40039,16934.84961,27900,17133.90039
17201.44922,17425.19922,17157.80078,26900,17352.74805
17366.84961,17383.59961,17202.19922,27500,17346.84961
17364.65039,17412,17203,18600,17262.19922
17266.25,17434.15039,17220.44922,22500,17389.99805
17461.44922,17635.90039,17453.44922,27100,17586.8457
17645.30078,17651,17389.65039,23700,17452.79688
17460.55078,17601.15039,17410.5,27000,17576.5957
17571.69922,17676.59961,17469.25,26900,17640.19531
17672.84961,17750.25,17601.15039,24200,17702.3457
17739.19922,17745.69922,17557.09961,19800,17585.44531
17649.34961,17681.80078,17546.69922,38100,17644.8457
17767.75,18139.94922,17716.65039,56300,18056.0918
18128.59961,18313.09961,18119.65039,40400,18281.73633
18261.94922,18261.94922,17992.5,57600,18036.8418
17914.34961,18128.15039,17890.84961,32400,17975.74023
17988.69922,18054.65039,17898.40039,44000,18022.29102
18082.40039,18615.40039,18082.40039,67200,18512.93555
18586.94922,18676.09961,18497,43700,18525.08594
18434.75,18601.84961,18301,54700,18555.63477
18549.75,18723.65039,18518,44100,18645.63281
18758.80078,18793.15039,18575.34961,46300,18782.63086
18827.59961,18875.44922,18706.25,41400,18756.53125
18804.94922,18804.94922,18486.55078,32500,18509.83594
18499.94922,18585.34961,18248.09961,39700,18290.4375
18413.69922,18501.75,18236.55078,38100,18299.53711
18545.69922,18563.59961,18413.75,63600,18478.68555
19157.30078,19307.80078,18882.25,61900,19073.32813
19605.59961,19830.34961,19398.75,58100,19747.76953
17758.94922,17935.30078,17730.69922,43900,17880.64258
16444.19922,16444.19922,15933.15039,85700,16128.91211
16342.34961,16425.15039,16188.04981,54700,16398.45898
15612.09961,15803.2002,15453.40039,79300,15609.61816
15667,15682.65039,15495.09961,64213000,15560.96973
15206.29981,15367.90039,14960.09961,86500,15046.625
14243.4502,14395.84961,14207.34961,96300,14344.0332
13844.4502,13844.4502,13519.90039,104600,13555.54297
16236.90039,16278.5,16046.5,70300,16190.41113
16600.65039,17025.84961,16599.05078,83900,16997.25195
17710.44922,17754.15039,17636.90039,78900,17671.19531
17830.19922,18051.5,17815.25,91400,17828.39258
19050.40039,19126.75,18998.80078,146300,19076.32813
24085.44922,24151,23912.55078,94700,24088.62109
25826.30078,25838.55078,25620.94922,76600,25735.95117
25324.59961,25326.05078,24824.55078,265300,25058.25977
24831.34961,24873.05078,24682,134500,24818.41016
25607.05078,25716.75,25499.34961,114400,25568.00391
25547.90039,25653.44922,25469.05078,97400,25604.95313
25632.30078,25680.40039,25537.69922,94400,25645.10156
27836.15039,28013.09961,27779.5,179500,27826.22656
27991.75,28178.15039,27953.80078,151600,28128.22461
28171.65039,28322.30078,28171.65039,172500,28273.92188
28295.84961,28305.94922,28151.90039,138100,28257.57227
28199.44922,28203.19922,27777.40039,123200,27819.17578
25290.55078,25470.05078,25026.34961,253300,25069.60938
27301.90039,27542.40039,27161.94922,146100,27509.17969
27334.55078,27533.05078,26930.44922,231600,27085.63477
31234.90039,31700.75,31142.5,232000,31647.2832
31523.94922,31541.5,30800.80078,274600,30857.04102
31471,31608.34961,31428.05078,242986000,31471.48438
29617.05078,29635.15039,29194.09961,339800,29284.60938
28224.25,28541.19922,27937.55078,310300,28204.62109
29226.15039,29526.40039,28077.34961,1187300,28725.16602
30722.59961,30821.34961,30462.55078,364800,30632.79492
31981.69922,32157.05078,31905.90039,498300,32122.57617
31549.30078,32017.75,31444,516800,31978.92969
32083.80078,32126.94922,31628.30078,393300,31712.58008
31797.15039,31883.69922,31250.65039,485400,31341.18555
31321.40039,31537.65039,31122.05078,494500,31316.28711
31386.40039,31412.80078,31126,505400,31159.98828
31151.65039,31337.84961,30996.40039,815400,31256.38672
31356.80078,31711.44922,31352.09961,529700,31665.08203
31775.55078,32105.05078,31770.5,390500,32013.87695
32159,32186.94922,31897.75,306000,31973.82813
32082.40039,32213.34961,31987.34961,259900,32139.87695
32292.25,32293.65039,32017.30078,258800,32243.875
32281.65039,32328.34961,32085.05078,436900,32241.07422
32266.84961,32443.34961,32199.44922,535200,32384.57227
32381,32502.80078,32196.84961,391500,32339.07422
32337.80078,32390.34961,32246.05078,330800,32280.375
32276.15039,32314.59961,31963.25,339800,31997.32813
32142.5,32444.84961,32056.25,332400,32411.97266
32345.94922,32345.94922,32108.75,251400,32161.27734
32133.15039,32465.44922,32121.40039,253600,32443.47266
32326.94922,32329.80078,31960.40039,217600,32068.87695
31910.44922,31914.44922,31170.55078,256200,31236.78711
31598.05078,31851.44922,31200.90039,294400,31399.03516
30995.5,31451.84961,30899.55078,304500,31373.28516
31748.25,32172.69922,31667.15039,308000,32092.02734
32215.69922,32347.19922,31953.40039,444700,32097.02734
32139.09961,32322.65039,32074.05078,291400,32177.27734
32196.44922,32196.44922,31989.19922,438900,32071.27734
31994.75,32000.90039,31670.34961,545700,31824.53125
31810.55078,31988.90039,31692.40039,253700,31853.5293
31571.65039,31773.55078,31445.5,308100,31590.2832
31923.94922,31923.94922,31050.94922,282200,31080.28906
30978.84961,31171.25,30858.59961,227500,30947.19141
31061.59961,31149.05078,30614,200600,30701.0918
30742.19922,31087.25,30621.34961,343800,31003.68945
31040.09961,31375.44922,30879.05078,424600,31241.38672
31110.55078,31227.05078,30808.55078,309900,30837.04102
30922,31048.44922,30656.34961,239600,30761.04297
30915.09961,31082.84961,30835.80078,268800,30876.64063
30889.25,30909.5,30521.30078,328900,30647.04492
30950.5,31033.44922,30691.80078,333400,30833.24219
29811.75,30105.80078,29612.55078,337100,30022.90039
30235.30078,30776.94922,30182.44922,336600,30686.3418
30761.94922,31065.84961,30630.84961,427600,31001.58984
31070.75,31470.65039,30917.25,334000,31303.6875
31367.05078,31368.19922,31111.05078,254400,31201.58594
31248.65039,31248.80078,30957.19922,239700,31057.78906
31230.19922,31505.94922,31225.90039,198900,31300.23633
31441.15039,31588.59961,31398.15039,226000,31492.53516
31586.55078,31649.44922,31180.59961,303000,31229.88672
31281.84961,31436.65039,30776.09961,341400,30834.44336
30661.5,30692.75,30252.44922,398900,30562.14453
30905,30947.15039,30606.15039,268800,30837.83984
30862.30078,31085.30078,30702.44922,273100,30942.49023
30666.34961,30702.15039,30428,254200,30454.74609
30517,30610.69922,30329.94922,215900,30432.3457
